id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,42,technician,married,secondary,no,7,no,no,cellular,25,aug,117,3,-1,0,unknown,0
1,38,blue-collar,married,secondary,no,514,no,no,unknown,18,jun,185,1,-1,0,unknown,0
2,36,blue-collar,married,secondary,no,602,yes,no,unknown,14,may,111,2,-1,0,unknown,0
3,27,student,single,secondary,no,34,yes,no,unknown,28,may,10,2,-1,0,unknown,0
4,26,technician,married,secondary,no,889,yes,no,cellular,3,feb,902,1,-1,0,unknown,1
5,24,admin.,single,secondary,no,1882,yes,no,cellular,20,apr,1010,3,-1,0,unknown,0
6,39,blue-collar,married,secondary,no,0,no,no,telephone,21,nov,90,1,-1,0,unknown,0
7,50,admin.,single,secondary,no,1595,no,no,telephone,31,jul,49,25,-1,0,unknown,0
8,46,blue-collar,married,primary,no,1463,no,no,cellular,4,aug,50,1,-1,0,unknown,0
9,39,management,divorced,tertiary,no,25,yes,no,cellular,8,may,119,1,-1,0,unknown,0
10,32,management,single,tertiary,no,876,yes,no,cellular,5,may,119,1,-1,0,unknown,0
11,37,management,married,tertiary,no,0,yes,no,cellular,24,jul,64,2,-1,0,unknown,0
12,46,entrepreneur,married,unknown,no,635,no,no,unknown,11,jun,71,1,-1,0,unknown,0
13,32,blue-collar,married,secondary,no,471,yes,no,unknown,12,may,157,3,-1,0,unknown,0
14,38,blue-collar,married,secondary,no,1686,yes,no,unknown,26,may,393,2,-1,0,unknown,0
15,37,technician,married,secondary,no,2564,no,no,cellular,21,aug,73,3,-1,0,unknown,0
16,57,blue-collar,married,secondary,no,3109,no,no,cellular,11,aug,122,3,-1,0,unknown,0
17,33,self-employed,married,tertiary,no,437,no,no,cellular,30,jan,101,2,-1,0,unknown,0
18,47,blue-collar,married,secondary,no,0,no,no,cellular,5,aug,71,1,-1,0,unknown,0
19,35,management,single,tertiary,no,524,no,no,cellular,12,aug,82,2,-1,0,unknown,0
20,36,technician,single,tertiary,no,3415,no,no,cellular,24,jul,867,5,-1,0,unknown,1
21,49,blue-collar,married,secondary,no,966,yes,no,cellular,14,jul,541,3,-1,0,unknown,0
22,35,blue-collar,married,secondary,no,8648,no,no,unknown,6,jun,527,1,-1,0,unknown,0
23,32,technician,married,secondary,no,707,yes,yes,cellular,18,nov,41,1,175,3,other,0
24,77,unknown,married,secondary,no,4243,no,no,cellular,12,oct,513,1,91,4,failure,0
25,35,management,single,tertiary,no,454,no,no,cellular,8,aug,111,2,-1,0,unknown,0
26,40,management,married,tertiary,no,-205,yes,yes,cellular,10,jul,122,1,-1,0,unknown,0
27,54,blue-collar,married,secondary,no,657,yes,yes,cellular,19,nov,533,2,-1,0,unknown,0
28,39,services,married,secondary,no,0,no,no,unknown,5,jun,81,1,-1,0,unknown,0
29,36,blue-collar,single,primary,no,2137,no,no,unknown,17,jun,121,1,-1,0,unknown,0
30,56,retired,married,secondary,no,587,no,no,cellular,5,feb,8,7,-1,0,unknown,0
31,40,management,married,secondary,no,16125,yes,no,telephone,17,nov,89,1,-1,0,unknown,0
32,51,management,married,tertiary,no,949,yes,yes,unknown,5,may,113,1,-1,0,unknown,0
33,57,management,married,tertiary,no,1536,no,no,cellular,2,feb,101,1,-1,0,unknown,0
34,30,technician,single,secondary,no,0,no,no,cellular,6,aug,120,4,-1,0,unknown,0
35,38,blue-collar,married,secondary,no,8558,yes,no,cellular,14,may,466,1,-1,0,unknown,0
36,67,retired,divorced,secondary,no,1531,no,no,cellular,13,jul,136,1,181,2,failure,0
37,33,services,single,secondary,no,-68,yes,no,cellular,2,feb,393,1,252,1,failure,0
38,46,admin.,married,secondary,no,-314,yes,no,cellular,18,may,66,3,-1,0,unknown,0
39,58,retired,married,secondary,no,8332,no,no,cellular,12,aug,740,4,-1,0,unknown,0
40,46,technician,divorced,secondary,no,-90,no,no,unknown,13,may,415,1,-1,0,unknown,0
41,42,technician,married,primary,no,741,yes,no,unknown,29,may,63,1,-1,0,unknown,0
42,59,admin.,married,secondary,no,2338,no,no,cellular,10,mar,472,1,90,3,success,1
43,32,blue-collar,married,secondary,yes,-258,yes,no,unknown,23,jun,151,2,-1,0,unknown,0
44,45,blue-collar,married,secondary,no,1171,yes,no,unknown,30,may,144,1,-1,0,unknown,0
45,32,blue-collar,married,primary,no,1331,yes,no,cellular,12,may,152,2,-1,0,unknown,0
46,57,housemaid,married,secondary,no,938,no,no,cellular,31,jul,439,2,-1,0,unknown,0
47,35,management,married,tertiary,no,4889,no,no,cellular,11,aug,95,3,-1,0,unknown,0
48,46,management,single,tertiary,no,914,yes,yes,unknown,27,may,7,11,-1,0,unknown,0
49,35,management,single,tertiary,no,2429,no,no,cellular,7,aug,125,7,-1,0,unknown,0
50,40,services,married,secondary,no,1749,yes,no,unknown,19,may,97,1,-1,0,unknown,0
51,36,blue-collar,married,secondary,no,4056,yes,no,unknown,19,may,604,1,-1,0,unknown,0
52,51,management,married,tertiary,no,12,no,no,cellular,21,aug,120,2,-1,0,unknown,0
53,59,housemaid,married,primary,no,1025,no,no,cellular,18,jun,89,3,-1,0,unknown,0
54,54,technician,married,secondary,no,628,no,no,cellular,18,aug,90,4,-1,0,unknown,0
55,33,self-employed,single,tertiary,no,784,yes,no,cellular,9,feb,15,6,-1,0,unknown,0
56,35,technician,married,secondary,no,0,yes,yes,cellular,9,apr,108,1,-1,0,unknown,0
57,46,admin.,married,secondary,no,1527,no,no,cellular,14,aug,391,1,-1,0,unknown,1
58,40,services,divorced,secondary,no,968,no,no,cellular,5,feb,174,1,-1,0,unknown,0
59,36,technician,married,secondary,no,1373,no,no,unknown,6,jun,78,2,-1,0,unknown,0
60,39,management,single,tertiary,no,957,no,no,cellular,8,jun,93,2,-1,0,unknown,0
61,57,technician,married,secondary,no,14170,no,no,cellular,5,aug,965,2,-1,0,unknown,0
62,43,management,divorced,tertiary,no,561,no,yes,cellular,7,aug,72,2,-1,0,unknown,0
63,29,technician,married,secondary,no,38,yes,yes,unknown,26,may,95,3,-1,0,unknown,0
64,48,management,married,tertiary,no,569,no,no,cellular,13,aug,125,2,-1,0,unknown,0
65,35,technician,single,secondary,no,4,no,no,cellular,4,feb,126,2,-1,0,unknown,0
66,32,blue-collar,married,primary,no,1390,yes,yes,cellular,18,nov,118,4,-1,0,unknown,0
67,31,blue-collar,married,secondary,no,27,yes,no,cellular,13,may,77,4,-1,0,unknown,0
68,30,services,single,secondary,no,535,no,no,cellular,20,nov,944,1,-1,0,unknown,1
69,37,management,married,tertiary,no,-569,yes,no,unknown,21,may,202,1,-1,0,unknown,0
70,49,management,married,tertiary,no,4028,no,no,cellular,28,aug,7,9,-1,0,unknown,0
71,32,technician,divorced,secondary,no,3287,no,yes,cellular,17,jun,109,3,-1,0,unknown,0
72,30,management,single,tertiary,no,0,no,no,cellular,19,aug,207,2,-1,0,unknown,0
73,49,services,married,secondary,no,-12,no,no,cellular,12,aug,92,2,-1,0,unknown,0
74,54,management,married,tertiary,no,913,yes,no,cellular,3,feb,881,3,211,2,failure,1
75,37,blue-collar,married,secondary,no,-738,yes,no,cellular,31,jul,303,3,-1,0,unknown,0
76,49,management,divorced,tertiary,no,0,no,no,cellular,29,aug,246,2,-1,0,unknown,0
77,51,technician,married,secondary,no,-206,no,no,cellular,7,aug,109,2,-1,0,unknown,0
78,28,student,single,unknown,no,10583,no,no,cellular,8,jun,119,8,-1,0,unknown,1
79,32,admin.,single,secondary,no,1228,no,no,cellular,21,nov,782,1,-1,0,unknown,1
80,35,management,married,tertiary,no,1255,no,no,cellular,26,aug,300,16,-1,0,unknown,0
81,38,blue-collar,married,unknown,no,-3,no,no,unknown,6,may,136,2,-1,0,unknown,0
82,34,technician,single,tertiary,no,1394,no,no,cellular,4,feb,758,2,-1,0,unknown,0
